x,y,z
86.90200599823379,368.75036187141757,a
155.80646236691427,397.31351676542,a
119.00847799411362,342.5385351474738,a
160.65980815153074,370.6438592236223,a
109.10947442522621,332.62738744149846,a
111.99690565264547,347.0738725899722,a
110.17174629140153,319.9760847523366,a
113.1984759741364,297.42999996666975,a
174.61281483497146,265.52948000393405,a
170.31438269390662,326.1218670484205,a
230.1471944001686,398.16937201674006,a
291.96522599085944,373.8961321381115,a
317.42268594827556,370.5735310151862,a
324.0576351479715,420.86198104616005,a
289.3916359032341,425.129710901918,a
349.292123121959,400.40383440608167,a
304.1319008498751,406.84246594511046,a
268.8734564858948,370.06078689112354,a
248.21776348838983,422.85700127120697,a
233.37049604950045,346.70959367134134,a
193.63490309272748,261.3085514723066,a
138.1103305081601,291.30762743596574,a
180.24761931790817,305.3037223859995,a
163.93882832742372,355.3056217923024,a
144.1273363988745,359.55805863281205,a
172.32371977528635,365.6667630847279,a
142.6705676127259,338.70575082700566,a
269.17985734087864,338.60844001655005,a
330.0017028657137,346.9281496501844,a
309.9356997558384,410.24671230589377,a
318.993484521545,414.69884597062963,a
359.5331093119984,457.6124781267877,a
293.53717172962405,439.06313294690926,a
274.57882302110363,383.8336923371834,a
274.8688380528049,426.93269735913617,a
279.01988359557726,406.0700144041546,a
238.4860430825655,401.10325521633615,a
188.296905249917,421.1323542944284,a
169.6407947339137,358.8189674450085,a
158.85237726002055,328.12138327143066,a
135.7706997510436,376.4289783493015,a
179.90955333744617,350.4787922610002,a
205.67665658664987,340.3172719103235,a
165.38946786269773,339.82692888476566,a
202.81135797579367,363.61600980520006,a
247.62399454732392,388.3429133150744,a
310.66958735323084,421.11939333125554,a
314.2099341946902,414.3452682210676,a
279.16516372086636,399.46503399910733,a
280.8834727204143,430.2714934936219,a
286.1863586852037,432.8791759235924,a
253.33796947009102,429.4492211460857,a
196.53175980925255,407.9871991855987,a
207.80105536926936,346.1485141511873,a
110.85303853394245,368.86070760050205,a
137.16498612605048,335.6173841123586,a
125.2500616777169,279.8610136956843,a
117.91602288808649,300.5710592041073,a
134.93377081732922,326.09352250934865,a
86.29461144806075,281.0608877383743,a
134.82943430512924,288.19943470133245,a
174.75791474092588,351.7114135604671,a
232.43813330539086,351.4427963980496,a
306.3552315912074,372.3723205900319,a
286.2033589547826,345.14101577539975,a
331.8214048632441,392.55598686978203,a
306.87749739530494,425.7219724228335,a
237.90278736594928,420.19549393515376,a
236.2122770115118,423.70192051722836,a
224.4194106784392,419.76774635742413,a
186.15791250407605,386.2542930839471,a
129.04649453159163,378.00093849312736,a
152.52900014043462,342.68892304926874,a
77.18442083761002,323.3775960649528,a
88.08717018328653,324.12667246319296,a
109.31069997568969,328.0571354538023,a
197.39140095493713,304.8926570167147,a
162.9330726382193,322.0316338853262,a
230.7148950701057,364.0992568557921,a
235.30065781197538,333.74221477140816,a
285.9554063621892,415.44019071293314,a
272.8994544396392,413.39254092339223,a
320.8363155439211,415.4982745346268,a
253.6960706225877,392.9689879989125,a
269.0108206112417,408.2348982723334,a
247.42962207718168,443.6928223071543,a
198.4250605428269,419.656467496035,a
153.04508825262073,402.40179565257995,a
104.49558504400754,320.5960596947483,a
89.04524883958995,338.508635817975,a
172.91253594647122,322.4250865028051,a
106.04585763781392,325.40127553899276,a
148.14287513557227,297.26460987252597,a
132.13546641225773,293.1480789195724,a
196.7426109032072,312.2018606331468,a
223.27520921230385,350.8757027944504,a
254.33930696563104,330.06108358739306,a
324.3161283355745,385.3802599438428,a
287.46593587535125,393.3815468488149,a
338.8916023371139,438.3909343217863,a
321.2155221346176,452.91669023229105,a
302.4736991129822,433.14746638791837,a
249.46441583112463,434.6781794290477,a
219.1806051258509,427.85495939225063,a
228.62329751843848,422.49147841295206,a
156.2416288366719,410.10194763674224,a
113.25340477851303,394.21276451818375,a
113.55395874889919,339.473398991426,a
125.79239464294683,312.394878670421,a
120.69065043640781,325.6580851451683,a
104.97292225123294,346.7821780780498,a
135.37861908900635,352.4921572302029,a
233.8896138848863,363.30635699291383,b
209.62710732767266,334.212767703021,b
264.8026852233115,358.5626725238486,b
224.0628770908462,309.93429407883707,b
202.33730731724998,303.4296485610339,b
134.73063425340746,332.8730234279061,b
180.06948347396718,280.5282630304906,b
160.5366905660896,288.26391590529397,b
185.08723665083625,263.9803289851192,b
94.47068000520022,260.0619581413479,b
156.09912626390894,233.35003065073198,b
161.70114727275018,316.34212943195365,b
219.56937309292525,282.60591398954415,b
203.59925079404923,313.93619744584095,b
267.92858243782547,311.43564000794765,b
276.0995931474347,314.570982377178,b
364.93716311644505,319.28828876775714,b
375.6292805298649,339.57835578978995,b
440.14299556137166,297.8985208115189,b
427.7987395392331,412.44515316165297,b
419.151275372258,388.4737615827418,b
397.99296559060355,379.006406724857,b
384.46290879413294,403.9439018433088,b
320.7983744184236,343.987319639768,b
274.55184271574575,378.7038836663652,b
266.68596534814054,366.3150244619635,b
223.80736058700433,316.8316859266729,b
102.78338199022946,281.69543581665516,b
73.776743464226,244.24278590723154,b
141.71001931870737,286.50021715074774,b
146.31487363667594,300.1830212940188,b
204.26860611028206,267.1054630726759,b
128.5177575761411,280.7483842542134,b
124.62587630635589,307.0982136932007,b
141.7903547984291,267.0028136066883,b
161.7776175228533,280.34011083815005,b
208.81507120651818,280.6937298566632,b
187.11700648376097,293.16634757849477,b
304.3996155822951,260.9863406791176,b
337.19264654545407,259.5001965705369,b
399.47420612694157,226.56491459351923,b
401.9820663027567,241.5783436360898,b
367.83472568712244,295.43565132493694,b
356.04619318180545,272.4273248675214,b
334.5765751725387,234.1802768054821,b
344.85359301780113,258.4243631452807,b
271.6973183054745,216.70120108451044,b
287.57129998796387,237.89524568664837,b
263.3912899909013,225.12255070201564,b
221.86619935712383,247.96442726723436,b
244.64085799487387,199.4799638177019,b
270.8416089288719,225.8279629376268,b
231.66532657419253,218.47579461529824,b
169.12761146235295,165.8420512903253,b
254.46608224562053,172.78375739007856,b
268.9528608749587,169.8399882385586,b
292.3174917164997,221.85440606486173,b
351.6321200265693,246.1259444314519,b
350.22818174645244,301.6613135485675,b
364.85781126345427,233.09202066287304,b
359.70499189799614,249.24588202441035,b
305.3661518208129,300.1609590622386,b
331.0452131660851,260.98605572914477,b
278.2049947490885,255.34440188814597,b
294.9468164058927,259.19481857395226,b
170.6636433861309,288.057498807011,b
223.35743121306996,257.3417482350805,b
158.1167752581569,251.44163062026317,b
126.69003266807651,215.36223227914815,b
104.02385817593986,222.1331276141418,b
175.08327487365747,208.37763150518794,b
148.53619549106367,215.77843698604545,b
210.3654023416784,203.8629652204188,b
214.8569869895675,208.92231968520855,b
248.75531921264093,179.6688828572535,b
250.25044673146732,153.0464922357366,b
351.3775905342334,164.6108188383131,b
327.26257573070535,136.99339931725984,b
351.3920229387284,166.5741765965911,b
377.78329558883115,167.00175311063225,b
412.5633237164255,195.4202578439673,b
247.8721219181736,297.9363739266694,a
234.37542832519932,320.13601322428815,a
261.4108505328951,261.2907177016497,a
208.75911396805728,303.96103899959724,a
251.05628842501565,284.3949821074183,a
243.53029471907098,236.53739358144844,a
261.0648117203223,261.39711643954274,a
258.88236115422865,237.77528164127693,a
250.27453193731205,260.07535901353464,a
265.9204105381428,240.4564670358252,a
206.2314277682558,285.18125118285224,a
241.35951872035315,279.6885518692711,a
261.0290455655154,292.3094218447298,a
283.39051371976615,270.6540794427611,a
340.8776557166839,296.9389824300563,a
273.81287869812246,331.92861337538676,a
342.8598466754031,269.6891367492584,a
316.84220585281804,330.593142309667,a
338.7048776270763,250.09399760132413,a
288.361106513683,348.3951195491079,a
225.0578983331282,304.1967806246762,a
189.65789316590244,316.39104576440263,a
262.1025528409797,305.7475910622508,a
173.26768875549084,244.00261078343075,a
182.19108493257494,244.84706995682603,a
179.8416726432122,227.27724948601588,a
118.65398774348985,263.0980688278993,a
188.273332540049,250.94597988272963,a
251.28471218353747,259.64956582129776,a
297.03354437947087,285.5125243373584,a
278.0312291641785,280.75190885170156,a
351.3648023700186,283.6505404403691,a
301.3305485810816,327.09342087710195,a
